track,artist,album
Vision IV: Illumination,Anomalie,Visions
Manifesto,Harakiri for the Sky,Arson
Stillborn,Harakiri for the Sky,Arson
You Are the Scars,Harakiri for the Sky,Arson
The Graves We’ve Dug,Harakiri for the Sky,Arson
"Fire, Walk With Me",Harakiri for the Sky,Arson
My Bones to the Sea,Harakiri for the Sky,Aokigahara
The Traces We Leave,Harakiri for the Sky,III: Trauma
The Colour of Leaving,Parkway Drive,Reverence
Chronos,Parkway Drive,Reverence
In Blood,Parkway Drive,Reverence
Shadow Boxing,Parkway Drive,Reverence
I Hope You Rot,Parkway Drive,Reverence
The Void,Parkway Drive,
Absolute Power,Parkway Drive,
Prey,Parkway Drive,
Wishing Wells,Parkway Drive,Reverence
Devil’s Calling,Parkway Drive,Ire
A Deathless Song,Parkway Drive,Ire
Dedicated,Parkway Drive,Ire
Vicious,Parkway Drive,Ire
The Sound of Violence,Parkway Drive,Ire
Bottom Feeder,Parkway Drive,Ire
Writings on the Wall,Parkway Drive,Ire
Fractures,Parkway Drive,Ire
Crushed,Parkway Drive,
Vice Grip,Parkway Drive,
Destroyer,Parkway Drive,Ire
Horizons,Parkway Drive,
Idols and Anchors,Parkway Drive,
Five Months,Parkway Drive,
Carrion,Parkway Drive,
Sleight of Hand,Parkway Drive,Atlas
Atlas,Parkway Drive,Atlas
The Slow Surrender,Parkway Drive,Atlas
The River,Parkway Drive,Atlas
Dark Days,Parkway Drive,Atlas
Wild Eyes,Parkway Drive,Atlas
Dream Run,Parkway Drive,Atlas
Sparks,Parkway Drive,Atlas
