track,artist,album
Hallowed Be Thy Name,Cradle of Filth,Cruelty and the Beast
Everytime I Die,Children of Bodom,Follow the Reaper
As the Pages Burn,Arch Enemy,War Eternal
You Will Know My Name,Arch Enemy,War Eternal
The World Is Yours,Arch Enemy,Will to Power
The Eagle Flies Alone,Arch Enemy,Will to Power
We Will Rise,Arch Enemy,Anthems of Rebellion
Sweet Dreams,Marilyn Manson,Smells Like Childre 
Image of Time,In Vain,Ænigma
The Rise Of Hannibal,EX DEO,The Immortal Wars
Open Arms to Damnation,Born of Osiris,The Eternal Reign
M∆chine,Born of Osiris,Tomorrow We Die ∆live
Bow Down,Born of Osiris,The Eternal Reign
Omnipresent Perception,Beyond Creation,The Aura
Involuntary Doppelgänger,Archspire,Relentless Mutation
Human Murmuration,Archspire,Relentless Mutation
Immaculate Order,Rings of Saturn,Dingir
More Than Conquerors,Impending Doom,The Serpent Servant
Elitist Ones,Whitechapel,Mark of the Blade
Mikasa,Veil of Maya,Matriarch
Undertale Guitar Medley,FamilyJules,
Render the Void,ERRA,Impulse
Broken Dreams,dEMOTIONAL,Tarassis
Back Burner,August Burns Red,Messengers Remixed
My Own Grave,As I Lay Dying,Shaped by Fire
Modern Misery,Architects,Holy Hell
Lonely Day,System of a Down,Hypnotize
Aerials,System of a Down,Toxicity
Chop Suey!,System of a Down,Toxicity
Toxicity,System of a Down,Toxicity
Bhrom,Absentia,Bhrom
The Diary of Jane,Breaking Benjamin,Phobia
A Martian Winter,Angel Vivaldi,
Die Alone,Light the Torch,Revival
Drive,Incubus,Make Yourself
The Reason,Hoobastank,The Reason
Rainbow in the Dark,Dio,Holy Diver
Holy Diver,Dio,Holy Diver
Rainbow in the Dark,Corey Taylor,Ronnie James Dio: This Is Your Life
The Last In Line,Tenacious D,Ronnie James Dio: This Is Your Life
Black Diamond,Stratovarius,Eternal
Gray Sublime Archon,Eluveitie,Slania
Inis Mona,Eluveitie,Slania
King,Eluveitie,Ategnatos
The Silver Sister,Eluveitie,Origins
Vianna,Eluveitie,Origins
The Call Of The Mountains,Eluveitie,Origins
Celtos,Eluveitie,Origins
From Darkness,Eluveitie,Origins
The Nameless,Eluveitie,Origins
A Rose for Epona,Eluveitie,Helvetios
Quoth the Raven,Eluveitie,Everything Remains as It Never Was
Thousandfold,Eluveitie,Everything Remains as It Never Was
Water Awakes,Shallow Rivers,Water Awakes
Distress,Slumber,Fallout
Twilight Innocence,Novembers Doom,The Novella Reservoir
Crevasse,Karg,Weltenasche
Leaden Winged Burden,Doom:vs,Dead Words Speak
The Unknown Kadath In The Cold Waste,Colosseum,Rising of Yog-Sothoth: Tribute to Thergothon
Seven Suns,Calliophis,Cor Serpentis
Þjáning heillar þjóðar,Auðn,Auðn
Vision IV: Illumination,Anomalie,Visions
Manifesto,Harakiri for the Sky,Arson
Stillborn,Harakiri for the Sky,Arson
You Are the Scars,Harakiri for the Sky,Arson
The Graves We’ve Dug,Harakiri for the Sky,Arson
"Fire, Walk With Me",Harakiri for the Sky,Arson
My Bones to the Sea,Harakiri for the Sky,Aokigahara
The Traces We Leave,Harakiri for the Sky,III: Trauma
The Colour of Leaving,Parkway Drive,Reverence
Chronos,Parkway Drive,Reverence
In Blood,Parkway Drive,Reverence
Shadow Boxing,Parkway Drive,Reverence
I Hope You Rot,Parkway Drive,Reverence
The Void,Parkway Drive,Reverence
Absolute Power,Parkway Drive,Reverence
Prey,Parkway Drive,Reverence
Wishing Wells,Parkway Drive,Reverence
Devil’s Calling,Parkway Drive,Ire
A Deathless Song,Parkway Drive,Ire
Dedicated,Parkway Drive,Ire
Vicious,Parkway Drive,Ire
The Sound of Violence,Parkway Drive,Ire
Bottom Feeder,Parkway Drive,Ire
Writings on the Wall,Parkway Drive,Ire
Fractures,Parkway Drive,Ire
Crushed,Parkway Drive,Ire
Vice Grip,Parkway Drive,Ire
Destroyer,Parkway Drive,Ire
Horizons,Parkway Drive,Horizons
Idols and Anchors,Parkway Drive,Horizons
Five Months,Parkway Drive,Horizons
Carrion,Parkway Drive,Horizons
Sleight of Hand,Parkway Drive,Atlas
Atlas,Parkway Drive,Atlas
The Slow Surrender,Parkway Drive,Atlas
The River,Parkway Drive,Atlas
Dark Days,Parkway Drive,Atlas
Wild Eyes,Parkway Drive,Atlas
Dream Run,Parkway Drive,Atlas
Sparks,Parkway Drive,Atlas
