,title,,,,
"HHPZynI6pwQ","Poor Mans Poison - Give And Take (Official Video) A.K.A. Feed The Machine II the sequel","PoorMansPoison","2022-03-14","2021-08-25","https://i.ytimg.com/vi/HHPZynI6pwQ/hqdefault.jpg"
"yoYZf-lBF_U","Mobb Deep - Shook Ones, Pt. II (Official HD Video)","MobbDeepVEVO","2022-03-14","2013-10-20","https://i.ytimg.com/vi/yoYZf-lBF_U/hqdefault.jpg"
"N5qJCfyXMy0","Halocraft - She speaks of stars","Halocraft","2022-03-14","2019-05-30","https://i.ytimg.com/vi/N5qJCfyXMy0/hqdefault.jpg"
"9aHQnDTd1y4","Metal Gear Solid 3 Snake Eater Soundtrack: Snake Eater","alvaroduck","2022-03-06","2007-03-16","https://i.ytimg.com/vi/9aHQnDTd1y4/hqdefault.jpg"
"aaSQf3k74Uc","Michael Jackson   I am waiting for the call","Ah~Mab.23","2022-03-06","2011-09-17","https://i.ytimg.com/vi/aaSQf3k74Uc/hqdefault.jpg"
"M-BWXT3UBns","Nujabes - Feather","ChilledHipHop","2022-03-04","2010-07-18","https://i.ytimg.com/vi/M-BWXT3UBns/hqdefault.jpg"
"nR3a9Ul9alM","BE'LAKOR - Valence (Official Video) | Napalm Records","Napalm Records","2022-02-23","2021-10-28","https://i.ytimg.com/vi/nR3a9Ul9alM/hqdefault.jpg"
"iD_OPRvsF5g","Locus","Be'lakor - Topic","2022-02-23","2021-10-28","https://i.ytimg.com/vi/iD_OPRvsF5g/hqdefault.jpg"
"GLoKsrTl2n4","SION ""Inside The Hollow"" (Official Music Video)","Jared Dines","2022-02-23","2021-12-17","https://i.ytimg.com/vi/GLoKsrTl2n4/hqdefault.jpg"
"pm-xlwkQ_qc","Trivium - Until The World Goes Cold [OFFICIAL VIDEO]","Trivium","2022-02-17","2015-08-27","https://i.ytimg.com/vi/pm-xlwkQ_qc/hqdefault.jpg"
"ngkB1PeiSHg","Archspire - Calamus Will Animate","Season of Mist","2022-02-16","2017-09-25","https://i.ytimg.com/vi/ngkB1PeiSHg/hqdefault.jpg"
"C71xeUiT5Ic","A-F-R-O - Big Belly (Official Video)","A-F-R-O","2022-02-16","2021-01-02","https://i.ytimg.com/vi/C71xeUiT5Ic/hqdefault.jpg"
"AC979eEzzUE","Mario Judah - I Miss the Rage","212Chrxs","2022-02-16","2021-05-31","https://i.ytimg.com/vi/AC979eEzzUE/hqdefault.jpg"
"4NO4KSB_80E","KILL","vivivivivi","2022-02-16","2021-12-19","https://i.ytimg.com/vi/4NO4KSB_80E/hqdefault.jpg"
"DCkJ5lGPqFs","Out of Touch","Daryl Hall & John Oates - Topic","2022-02-16","2014-11-08","https://i.ytimg.com/vi/DCkJ5lGPqFs/hqdefault.jpg"
"xutCT1T9iYk","Stentorian - Odrishsho Juddho","hussain408","2022-02-16","2011-08-31","https://i.ytimg.com/vi/xutCT1T9iYk/hqdefault.jpg"
"urxeNbBc1nk","credits song for my death","vivivivivi","2022-02-16","2021-04-02","https://i.ytimg.com/vi/urxeNbBc1nk/hqdefault.jpg"
"9QBlyIEe8gM","RELIQA - The Bearer of Bad News (Official Visualiser)","Reliqa","2022-02-16","2021-11-24","https://i.ytimg.com/vi/9QBlyIEe8gM/hqdefault.jpg"
"Ne8fzMxX2Ps","Hedge Wizard - More True Than Time Thought (2014) (Dungeon Synth)","The Dungeon Synth Archives","2022-02-16","2016-07-17","https://i.ytimg.com/vi/Ne8fzMxX2Ps/hqdefault.jpg"
"UtaJDm6b7Ys","Best of God Is An Astronaut","WherePostRockDwells","2022-02-16","2018-01-06","https://i.ytimg.com/vi/UtaJDm6b7Ys/hqdefault.jpg"
"LQPCkK5xoaI","Chernikovskaya Hata - chernikovskaya hata (Full Album, Russia, 2016)","privet poka","2022-02-16","2016-11-02","https://i.ytimg.com/vi/LQPCkK5xoaI/hqdefault.jpg"
"5yaE1YMOY6Q","【COVER】Inkya Impulse | インキャインパルス (Asobi Asobase ED)【Futakuchi Mana 二口魔菜】","Futakuchi Mana | 二口魔菜","2022-02-16","2021-02-14","https://i.ytimg.com/vi/5yaE1YMOY6Q/hqdefault.jpg"
"hOzv3ZW-pJk","Mario Judah - You never Cared at all (Official Audio) 160k","𝖚𝖆𝖎𝖎 𝖇𝖗𝖊𝖓𝖔","2022-02-16","2021-10-02","https://i.ytimg.com/vi/hOzv3ZW-pJk/hqdefault.jpg"
"8N5_unCgdv8","Mario Judah - ""Afraid of Love"" (Official Audio Video)","Mario Judah","2022-02-02","2022-01-28","https://i.ytimg.com/vi/8N5_unCgdv8/hqdefault.jpg"
"TkbadvaMuXo","ELUVEITIE - Epona (OFFICIAL MUSIC VIDEO)","Nuclear Blast Records","2022-01-26","2017-07-04","https://i.ytimg.com/vi/TkbadvaMuXo/hqdefault.jpg"
"RITX5Cqqrhc","War Of Ages - Collapse","WarOfAgesVEVO","2022-01-05","2018-11-16","https://i.ytimg.com/vi/RITX5Cqqrhc/hqdefault.jpg"
"NhGP2xEVYg4","In Another Now","While She Sleeps - Topic","2022-01-05","2020-06-26","https://i.ytimg.com/vi/NhGP2xEVYg4/hqdefault.jpg"
"1M6zmEM_L6Q","Osi And The Jupiter — Fjörgyn","Years Of Silence","2021-12-18","2019-10-23","https://i.ytimg.com/vi/1M6zmEM_L6Q/hqdefault.jpg"
"OTiX-xAgBi8","Ne Obliviscaris - Painters Of The Tempest (Full)","Shintaro Fushida-Hardy","2021-11-26","2014-11-02","https://i.ytimg.com/vi/OTiX-xAgBi8/hqdefault.jpg"
"5ekgDukO6ug","Halocraft - A Mother to Scare Away the Darkness [Album Premiere]","WherePostRockDwells","2021-11-26","2021-11-05","https://i.ytimg.com/vi/5ekgDukO6ug/hqdefault.jpg"
"krmquvgI0IM","Aquilus - In Lands of Ashes (Official Music Video)","Andrea Effulge","2021-11-26","2015-03-08","https://i.ytimg.com/vi/krmquvgI0IM/hqdefault.jpg"
"16X2GGj_SlM","Yenisei - Reflections [Album] (2021)","WherePostRockDwells","2021-11-26","2021-10-20","https://i.ytimg.com/vi/16X2GGj_SlM/hqdefault.jpg"
"MlnGYcMpxgU","ARCHSPIRE - ""Drone Corpse Aviator"" (Official Music Video) 2021","Season of Mist","2021-11-26","2021-09-30","https://i.ytimg.com/vi/MlnGYcMpxgU/hqdefault.jpg"
"jN0aELsVQFA","Bring Me The Horizon - 1x1 (Lyric Video) ft. Nova Twins","BMTHOfficialVEVO","2021-11-26","2020-10-30","https://i.ytimg.com/vi/jN0aELsVQFA/hqdefault.jpg"
"UFwYUKx_Tps","Bed of Nails","Neko Fuzz & Barbasauce - Topic","2021-11-26","2019-09-05","https://i.ytimg.com/vi/UFwYUKx_Tps/hqdefault.jpg"
"rtL5oMyBHPs","MGMT - Little Dark Age (Video)","MGMTVEVO","2021-11-26","2017-10-17","https://i.ytimg.com/vi/rtL5oMyBHPs/hqdefault.jpg"
"MPR56PXiLqY","Gjallarhorn - I Riden Så (Ye Ride So Carefully)","thefetusboy","2021-11-26","2011-02-04","https://i.ytimg.com/vi/MPR56PXiLqY/hqdefault.jpg"
"FxZ1wvaVaeI","IRE ""Reflections"" (LYRIC VIDEO)","IRE_official","2021-11-26","2021-07-02","https://i.ytimg.com/vi/FxZ1wvaVaeI/hqdefault.jpg"
"4Ona-iaWRBY","Breaking Benjamin - Crawl [Official Video]","miriebraha","2021-11-26","2011-03-29","https://i.ytimg.com/vi/4Ona-iaWRBY/hqdefault.jpg"
"8sizWvlgXAg","Audio Active Music - Shadows","ThePrimeCronus","2021-11-26","2012-06-19","https://i.ytimg.com/vi/8sizWvlgXAg/hqdefault.jpg"
"76qRF5-qvZM","Ori and the Blind Forest – Main Theme [Menu Music]","Empty Channel","2021-11-26","2015-03-15","https://i.ytimg.com/vi/76qRF5-qvZM/hqdefault.jpg"
"7TnEkTYDzrc","Tempest","Countless Skies - Topic","2021-11-26","2020-11-05","https://i.ytimg.com/vi/7TnEkTYDzrc/hqdefault.jpg"
"fxkXDCSDx9s","Death Dealer [OFFICIAL VIDEO] - Lords of the Trident","Lords of the Trident","2021-11-26","2018-11-28","https://i.ytimg.com/vi/fxkXDCSDx9s/hqdefault.jpg"
"lxgelwqe8-E","Lamb of God - Vigil","lambofgodVEVO","2021-11-26","2013-11-11","https://i.ytimg.com/vi/lxgelwqe8-E/hqdefault.jpg"
"zwfB5FRifJQ","Clouds - Doliu (2014) Full Album","Doom Metal Subgenres","2021-11-26","2014-11-21","https://i.ytimg.com/vi/zwfB5FRifJQ/hqdefault.jpg"
"HIRNdveLnJI","Avenged Sevenfold - Afterlife [Official Music Video]","Avenged Sevenfold","2021-11-26","2008-03-12","https://i.ytimg.com/vi/HIRNdveLnJI/hqdefault.jpg"
"4A_tSyJBsRQ","MESHUGGAH - New Millennium Cyanide Christ (Official Music Video)","Reigning Phoenix Music","2021-11-26","2008-05-15","https://i.ytimg.com/vi/4A_tSyJBsRQ/hqdefault.jpg"
"uRwtBDtzAfw","Pokémon Red/Blue - ""Battle Vs. Trainer"" METAL | FamilyJules","FamilyJules","2021-11-26","2018-12-04","https://i.ytimg.com/vi/uRwtBDtzAfw/hqdefault.jpg"
"1V_ucPcTxaE","The Elder Scrolls V: Skyrim - ""Ancient Stones"" Metal Guitar Cover | FamilyJules","FamilyJules","2021-11-26","2018-06-05","https://i.ytimg.com/vi/1V_ucPcTxaE/hqdefault.jpg"
"5-juDiDTYfw","Hypnogaja - Here Comes The Rain Again","NeoRock06","2021-10-25","2007-06-23","https://i.ytimg.com/vi/5-juDiDTYfw/hqdefault.jpg"
"pxMkIm5JxkM","Wintersun - Wintersun/05 - Death And The Healing","winterghoul","2021-10-10","2008-06-24","https://i.ytimg.com/vi/pxMkIm5JxkM/hqdefault.jpg"
"VbK6kfumVN0","EVADNE - A Mother Named Death (2017) Full Album Official (Melodic Death Doom Metal)","Solitude Productions","2021-10-10","2017-06-27","https://i.ytimg.com/vi/VbK6kfumVN0/hqdefault.jpg"
"K1Bzo6SdS3c","Spiritbox - Rule Of Nines (Official Music Video)","Pale Chord Music","2021-10-10","2019-11-29","https://i.ytimg.com/vi/K1Bzo6SdS3c/hqdefault.jpg"
"eEYbLsechlo","Miki Matsubara - Stay With Me (cyberpunk/synthwave remix)","Astrophysics","2021-10-10","2021-06-03","https://i.ytimg.com/vi/eEYbLsechlo/hqdefault.jpg"
"XCSnFT64FSE","pagol chara duniya cole na","koster tv","2021-10-10","2016-08-08","https://i.ytimg.com/vi/XCSnFT64FSE/hqdefault.jpg"
"lDucAZj72BM","AUÐN - Ljóstýra (Official Track Premiere)","Season of Mist","2021-10-10","2020-09-15","https://i.ytimg.com/vi/lDucAZj72BM/hqdefault.jpg"
"qpRQvaRnJLM","Hooded Menace - Blood Ornaments (official track premiere) 2021","Season of Mist","2021-09-26","2021-05-19","https://i.ytimg.com/vi/qpRQvaRnJLM/hqdefault.jpg"
"GhvzMGDzt70","Judas Priest - The Hellion / Electric Eye (HQ)","Lux Gaming","2021-09-26","2016-04-04","https://i.ytimg.com/vi/GhvzMGDzt70/hqdefault.jpg"
"xpjP5PXc-1k","Dawn Of Solace - Lead Wings (Official Music Video) | Noble Demon","Noble Demon","2021-09-26","2019-11-28","https://i.ytimg.com/vi/xpjP5PXc-1k/hqdefault.jpg"
"NUDls2PgDUY","Killswitch Engage - My Curse (WITH LYRICS IN DESCRIPTION)","deadman9101","2021-08-30","2008-10-25","https://i.ytimg.com/vi/NUDls2PgDUY/hqdefault.jpg"
"xHE5g9YgkFg","LORNA SHORE - And I Return To Nothingness (OFFICIAL VIDEO)","Century Media Records","2021-08-30","2021-08-13","https://i.ytimg.com/vi/xHE5g9YgkFg/hqdefault.jpg"
"N-I8ALlYxdY","Metalingus-Alter Bridge","fukubitch1510","2021-08-17","2009-04-11","https://i.ytimg.com/vi/N-I8ALlYxdY/hqdefault.jpg"
"AZjDOQLc7ho","Illnath:Cast into the fields of evil pleasure","Cássio Lampert","2021-08-06","2007-10-25","https://i.ytimg.com/vi/AZjDOQLc7ho/hqdefault.jpg"
"pxsx4027djE","BUDDHA BRAND 人間発電所","西原誠","2021-08-06","2015-05-05","https://i.ytimg.com/vi/pxsx4027djE/hqdefault.jpg"
"n63UbX5kzAc","BLIND GUARDIAN - The Bard's Song (OFFICIAL MUSIC VIDEO)","Blind Guardian","2021-08-06","2010-03-03","https://i.ytimg.com/vi/n63UbX5kzAc/hqdefault.jpg"
"O-fyNgHdmLI","Creed - My Sacrifice","CreedVEVO","2021-08-06","2009-12-02","https://i.ytimg.com/vi/O-fyNgHdmLI/hqdefault.jpg"
"soNakWWx5mU","Evanescence - Part Of Me (Official Audio)","Evanescence","2021-08-06","2021-03-26","https://i.ytimg.com/vi/soNakWWx5mU/hqdefault.jpg"
"StZcUAPRRac","Rammstein - Sonne (Official Video)","Rammstein Official","2021-08-06","2015-07-31","https://i.ytimg.com/vi/StZcUAPRRac/hqdefault.jpg"
"viDPmlNrxuk","Illnath - Angelic Voices Calling","mictain666","2021-08-06","2008-05-11","https://i.ytimg.com/vi/viDPmlNrxuk/hqdefault.jpg"
"SGRgAULYgWE","Dream Theater - ""Pull Me Under""","TheBlackbird012","2021-08-06","2011-05-22","https://i.ytimg.com/vi/SGRgAULYgWE/hqdefault.jpg"
"R0AJrPd2uXk","When Nothing Remains - A Lake Of Frozen Tears","Eternal Woods","2021-08-06","2016-02-22","https://i.ytimg.com/vi/R0AJrPd2uXk/hqdefault.jpg"
"rUt3OCXgUa0","Cancer / Moonspeak","Rivers of Nihil - Topic","2021-08-06","2018-03-15","https://i.ytimg.com/vi/rUt3OCXgUa0/hqdefault.jpg"
"wspAlDjSjAA","Eluveitie - Alesia (Audio)","alexnadim","2021-08-06","2012-03-09","https://i.ytimg.com/vi/wspAlDjSjAA/hqdefault.jpg"
"gqubRzRq3xM","Journey to the End","Windir - Topic","2021-08-06","2019-02-02","https://i.ytimg.com/vi/gqubRzRq3xM/hqdefault.jpg"
"FxTBb9cSAO8","Low Roar-Don't be so serious (Death Stranding Music)","DANYXX","2021-08-06","2019-11-08","https://i.ytimg.com/vi/FxTBb9cSAO8/hqdefault.jpg"
"Ut0rqG2QL_w","Nargaroth - FULL - Seven tears Are Flowing To The River","Burningfromwithin","2021-08-06","2011-02-15","https://i.ytimg.com/vi/Ut0rqG2QL_w/hqdefault.jpg"
"adV8-_hgL4g","Buckethead - Soothsayer","lounaslaatikko","2021-08-06","2007-10-28","https://i.ytimg.com/vi/adV8-_hgL4g/hqdefault.jpg"
"nh5Gw0vJZ_E","BE'LAKOR - Withering Strands (Official Lyric Video) | Napalm Records","Napalm Records","2021-08-06","2020-05-07","https://i.ytimg.com/vi/nh5Gw0vJZ_E/hqdefault.jpg"
"p3BDdiG0pIc","Karg - Alles wird in Flammen stehen","AOP Records","2021-08-06","2016-10-17","https://i.ytimg.com/vi/p3BDdiG0pIc/hqdefault.jpg"
"KHpUi1mL6LQ","Þjáning Heillar Þjóðar","Auðn - Topic","2021-08-06","2015-11-06","https://i.ytimg.com/vi/KHpUi1mL6LQ/hqdefault.jpg"
"LYUmRIHMbLg","Shadow Of Intent - The Prelude To Bereavement (Official Stream)","Shadow Of Intent","2021-08-06","2016-01-10","https://i.ytimg.com/vi/LYUmRIHMbLg/hqdefault.jpg"
"1Q3ub1SUYfg","Nekrogoblikon - We Need A Gimmick [OFFICIAL VIDEO]","Nekrogoblikon","2021-08-06","2015-06-02","https://i.ytimg.com/vi/1Q3ub1SUYfg/hqdefault.jpg"
"HfpYbWlGf9k","Dance Of Death","Iron Maiden - Topic","2021-08-06","2017-02-18","https://i.ytimg.com/vi/HfpYbWlGf9k/hqdefault.jpg"
"DrM2lo6B04I","Forget Not","Ne Obliviscaris - Topic","2021-08-06","2020-01-31","https://i.ytimg.com/vi/DrM2lo6B04I/hqdefault.jpg"
"8DiWzvE52ZY","Gojira - Global Warming [Live at the Silver Cord Studio May 2018]","Gojira","2021-08-06","2018-06-25","https://i.ytimg.com/vi/8DiWzvE52ZY/hqdefault.jpg"
"BNyYiTdqzAY","And Plague Flowers the Kaleidoscope","Ne Obliviscaris - Topic","2021-08-06","2020-01-31","https://i.ytimg.com/vi/BNyYiTdqzAY/hqdefault.jpg"
"uwYPbp19RZw","Illnath - By the Hands of Violent Winter","Ivana Bunjan","2021-08-06","2007-11-18","https://i.ytimg.com/vi/uwYPbp19RZw/hqdefault.jpg"
"2OOVR2ic_Gs","Gojira - Mandragore","Gojira Vidya","2021-08-06","2008-09-08","https://i.ytimg.com/vi/2OOVR2ic_Gs/hqdefault.jpg"
"JiDnB-CrrNs","Killswitch Engage - The End Of Heartache","Roadrunner Records UK","2021-08-06","2009-10-27","https://i.ytimg.com/vi/JiDnB-CrrNs/hqdefault.jpg"
"LBAXZto7uVc","Rivers of Nihil - Where Owls Know My Name (OFFICIAL VIDEO)","Metal Blade Records","2021-08-06","2018-09-07","https://i.ytimg.com/vi/LBAXZto7uVc/hqdefault.jpg"
"r5IkzucW4Us","THE FACELESS - Legion of the Serpent","Sumerian Records","2021-08-06","2012-05-22","https://i.ytimg.com/vi/r5IkzucW4Us/hqdefault.jpg"
"_oGY68hJbs4","Blacken the Cursed Sun","Lamb of God - Topic","2021-08-06","2015-05-20","https://i.ytimg.com/vi/_oGY68hJbs4/hqdefault.jpg"
"QesN8EYwGQc","Never Forgotten Justice","Superdeathflame - Topic","2021-08-06","2014-10-27","https://i.ytimg.com/vi/QesN8EYwGQc/hqdefault.jpg"
"shbKNuNPke0","MiNERVA Tribute Full - MiNERVA Bangladesh","Hasib Mamur","2021-08-06","2015-02-08","https://i.ytimg.com/vi/shbKNuNPke0/hqdefault.jpg"
"RvWbcK3YQ_o","Architects - ""Doomsday""","Epitaph Records","2021-08-06","2017-09-06","https://i.ytimg.com/vi/RvWbcK3YQ_o/hqdefault.jpg"
"2QqAbLKEJr4","Lost in Darkness (Nintendocore)","SpaetzleundSoss","2021-08-06","2012-12-16","https://i.ytimg.com/vi/2QqAbLKEJr4/hqdefault.jpg"
"rJCEqI3iNnw","Rawesome - Humanity","xRawesomex","2021-08-06","2010-08-23","https://i.ytimg.com/vi/rJCEqI3iNnw/hqdefault.jpg"
"am4SzXhbXZU","Nevermore - The River Dragon Has Come (Lyrics)","NevermoreFans","2021-08-06","2011-03-13","https://i.ytimg.com/vi/am4SzXhbXZU/hqdefault.jpg"
"QySZZm0jf34","Insomnium - Weighed Down With Sorrow","Disturbed684","2021-08-06","2009-07-22","https://i.ytimg.com/vi/QySZZm0jf34/hqdefault.jpg"
"T1q9xD7of_Y","Illnath: And There Was Light","Nattefrosts","2021-08-06","2007-11-03","https://i.ytimg.com/vi/T1q9xD7of_Y/hqdefault.jpg"
"MqwYDbyab-E","Infinite Descent  Heaven Sent","VXballads","2021-08-06","2013-06-25","https://i.ytimg.com/vi/MqwYDbyab-E/hqdefault.jpg"
"zXv_W63lIFQ","Lacuna Coil - Intoxicated (with Lyrics)","MellifluousBrazil","2021-08-06","2012-02-18","https://i.ytimg.com/vi/zXv_W63lIFQ/hqdefault.jpg"
"SpnnrxKxRVc","DELTARUNE - ""Field of Hopes and Dreams"" METAL | FamilyJules","FamilyJules","2021-08-06","2018-11-20","https://i.ytimg.com/vi/SpnnrxKxRVc/hqdefault.jpg"
"UNjRM8il-O4","Grima - Enisey (Official Track | Atmospheric Black Metal)","NATURMACHT","2021-08-05","2019-07-06","https://i.ytimg.com/vi/UNjRM8il-O4/hqdefault.jpg"
"es4NozyEh5k","ARS ONIRICA - The Loss (Official Video) Black / Doom Metal","Solitude Productions","2021-08-05","2020-01-10","https://i.ytimg.com/vi/es4NozyEh5k/hqdefault.jpg"
"U10nBuERNIA","Avash | Avash | Official Video","Avash","2021-08-05","2019-01-27","https://i.ytimg.com/vi/U10nBuERNIA/hqdefault.jpg"
"5BhUPFwAFQo","Apocalypse Orchestra - The Garden Of Earthly Delights (Official Music Video) Medieval Metal","Despotz Records","2021-08-05","2017-05-02","https://i.ytimg.com/vi/5BhUPFwAFQo/hqdefault.jpg"
"-HzGazKeesI","Dawn of Solace - Winter Song (With Lyrics)","Shmulikipod123","2021-08-05","2010-05-21","https://i.ytimg.com/vi/-HzGazKeesI/hqdefault.jpg"
"Sfg6-4mBs6Y","Tonic - If You Could Only See","TonicVEVO","2021-08-05","2009-11-21","https://i.ytimg.com/vi/Sfg6-4mBs6Y/hqdefault.jpg"
"ZVMIk3xYaYo","Dream Theater - Octavarium - HQ","gwmax11","2021-08-05","2013-10-04","https://i.ytimg.com/vi/ZVMIk3xYaYo/hqdefault.jpg"
"QkF3oxziUI4","Led Zeppelin - Stairway To Heaven (Official Audio)","Led Zeppelin","2021-01-05","2018-07-04","https://i.ytimg.com/vi/QkF3oxziUI4/hqdefault.jpg"
"QndT3zVT0qo","Eluveitie - Neverland","Gyvates Asara","2021-01-05","2015-10-07","https://i.ytimg.com/vi/QndT3zVT0qo/hqdefault.jpg"
"M0pYWGjECLE","All That Remains - Six (lyrics)","KALANARRAAJA","2020-04-28","2008-12-16","https://i.ytimg.com/vi/M0pYWGjECLE/hqdefault.jpg"
"e3OlBnwx4tI","The Smoke of Many Fires","Be'lakor - Topic","2020-04-09","2017-11-27","https://i.ytimg.com/vi/e3OlBnwx4tI/hqdefault.jpg"
"bw3UygAi2oo","Æther Realm - The Sun, The Moon, The Star","Æther Realm","2020-04-09","2017-06-15","https://i.ytimg.com/vi/bw3UygAi2oo/hqdefault.jpg"
"rYBgWgjjgxQ","Be'lakor - Abeyance (HD)","belakorband","2020-03-26","2012-05-31","https://i.ytimg.com/vi/rYBgWgjjgxQ/hqdefault.jpg"
"bf_99pU4BLI","Shadow Of Intent - Underneath A Sullen Moon (OFFICIAL STREAM)","Shadow Of Intent","2020-03-26","2018-03-30","https://i.ytimg.com/vi/bf_99pU4BLI/hqdefault.jpg"
"PQtRXqBQETA","Serj Tankian - Harakiri","serjtankian","2020-03-13","2012-07-11","https://i.ytimg.com/vi/PQtRXqBQETA/hqdefault.jpg"
"86URGgqONvA","Iron Maiden - Run To The Hills (Official Video)","Iron Maiden","2020-03-10","2015-08-07","https://i.ytimg.com/vi/86URGgqONvA/hqdefault.jpg"
"ZPzsx3AdHpw","Lamb of God - Walk With me in Hell (Lyrics) [HQ]","LamdLyrics","2020-03-09","2012-09-23","https://i.ytimg.com/vi/ZPzsx3AdHpw/hqdefault.jpg"
"Y7hRNCwxM9Q","When Nothing Remains - I Forgive You","Shining Abyss","2020-03-09","2013-05-16","https://i.ytimg.com/vi/Y7hRNCwxM9Q/hqdefault.jpg"
"kyKC3nYFi_k","Wolfheart - The Flood","WolfheartVEVO","2020-03-09","2017-02-03","https://i.ytimg.com/vi/kyKC3nYFi_k/hqdefault.jpg"
"N6_WKGTeWH8","Rivers of Nihil - The Silent Life (OFFICIAL VIDEO)","Metal Blade Records","2020-03-09","2018-11-19","https://i.ytimg.com/vi/N6_WKGTeWH8/hqdefault.jpg"
"q-vBsqA5-Go","bad guy in the style of Breaking Benjamin (feat. Jared Dines)","Ten Second Songs","2020-03-09","2019-07-20","https://i.ytimg.com/vi/q-vBsqA5-Go/hqdefault.jpg"
"2ofJM4G3wp0","dEMOTIONAL - To the Gallows","1MHzRS","2020-03-09","2014-11-30","https://i.ytimg.com/vi/2ofJM4G3wp0/hqdefault.jpg"
"JDcLA-v9eRM","Epitaph Bhoy","Nazif Hossain","2020-03-09","2009-06-10","https://i.ytimg.com/vi/JDcLA-v9eRM/hqdefault.jpg"
"SzCxhyDARZA","Being - Story for a Muse","llaincss","2020-03-09","2013-12-25","https://i.ytimg.com/vi/SzCxhyDARZA/hqdefault.jpg"
"IIvSXocE6YY","Trivium - Strife [OFFICIAL VIDEO]","Trivium","2020-03-09","2013-09-10","https://i.ytimg.com/vi/IIvSXocE6YY/hqdefault.jpg"
"F9UKNwlhhpo","Blind Witness - All alone","T1m","2020-03-09","2010-11-20","https://i.ytimg.com/vi/F9UKNwlhhpo/hqdefault.jpg"
"BW-qT0gXQmw","VREID, ""One Hundred Years"" (Official Lyric Video)","Season of Mist","2020-03-09","2019-04-11","https://i.ytimg.com/vi/BW-qT0gXQmw/hqdefault.jpg"
"cKlHjaX42PU","When Nothing Remains - Mourning Of The Sun","Christian Messineo","2020-03-09","2012-09-05","https://i.ytimg.com/vi/cKlHjaX42PU/hqdefault.jpg"
"op918vGvCMo","Batushka  - Yektenia 1","MrNecrodaemon","2020-03-09","2016-03-06","https://i.ytimg.com/vi/op918vGvCMo/hqdefault.jpg"
"4n33gKe1EFs","When Nothing Remains ~Ghost Story","icedirony","2020-03-09","2016-02-22","https://i.ytimg.com/vi/4n33gKe1EFs/hqdefault.jpg"
"W4rHHmxOzMg","When Nothing Remains - Reunited in the Grave","UnknownMelodeath","2020-03-09","2016-02-07","https://i.ytimg.com/vi/W4rHHmxOzMg/hqdefault.jpg"
"n0H3RlaQVrM","Coheed and Cambria - Welcome Home","coheedandcambriaVEVO","2020-03-09","2009-10-03","https://i.ytimg.com/vi/n0H3RlaQVrM/hqdefault.jpg"
"M4c1QZrMkwo","Disturbed - Tyrant! (with Lyrics)","Scott Ludwig","2020-03-09","2017-10-07","https://i.ytimg.com/vi/M4c1QZrMkwo/hqdefault.jpg"
"KGLw5mVQtc8","Shape of Despair - Angels Of Distress","Unsilent YourLife MyDeath","2020-03-09","2012-07-09","https://i.ytimg.com/vi/KGLw5mVQtc8/hqdefault.jpg"
"r74ECGroLp0","KRYN - ""Reminder"" (Official Music Video)","KRYN","2020-03-09","2015-04-25","https://i.ytimg.com/vi/r74ECGroLp0/hqdefault.jpg"
"UEfAT85x1dY","Voidhaven - The Floating Grave","Germa558","2020-03-09","2019-05-17","https://i.ytimg.com/vi/UEfAT85x1dY/hqdefault.jpg"
"w997XQ2toPk","Parkway Drive - ""Cemetery Bloom"" (Full Album Stream)","Epitaph Records","2020-03-09","2018-05-04","https://i.ytimg.com/vi/w997XQ2toPk/hqdefault.jpg"
"CpfRXSHb-6Y","Blackout - Linkin Park (A Thousands Suns)","Linkin Park","2020-03-09","2015-04-06","https://i.ytimg.com/vi/CpfRXSHb-6Y/hqdefault.jpg"
"LJEh8C-7jjg","Dawn of Solace - I Am Chaos, I Am Destruction (With Lyrics)","Shmulikipod123","2019-07-25","2010-10-18","https://i.ytimg.com/vi/LJEh8C-7jjg/hqdefault.jpg"
"eYaxAosBuro","Be'lakor - Countless Skies","Pamplemousse","2019-07-25","2009-06-22","https://i.ytimg.com/vi/eYaxAosBuro/hqdefault.jpg"
"DlQ_yFBVfs4","Being - DNA","Myke Bates","2019-07-25","2014-01-06","https://i.ytimg.com/vi/DlQ_yFBVfs4/hqdefault.jpg"
"dYPGbsgapiQ","Beyond Creation - Algorythm (official lyric video)","Season of Mist","2019-07-19","2018-08-27","https://i.ytimg.com/vi/dYPGbsgapiQ/hqdefault.jpg"
"38yhKhGGPJs","System of a Down - I-E-A-I-A-I-O Lyrics","slorr55","2019-06-17","2009-04-06","https://i.ytimg.com/vi/38yhKhGGPJs/hqdefault.jpg"
"0jgrCKhxE1s","DragonForce - Through the Fire and Flames (Official Video)","DragonForce","2019-05-27","2006-12-26","https://i.ytimg.com/vi/0jgrCKhxE1s/hqdefault.jpg"
"sOOebk_dKFo","IMMORTAL - All Shall Fall (OFFICIAL MUSIC VIDEO)","Immortal","2019-05-17","2010-09-03","https://i.ytimg.com/vi/sOOebk_dKFo/hqdefault.jpg"
"QHRuTYtSbJQ","Mick Gordon - 11. BFG Division","Mick Gordon","2019-05-17","2016-09-28","https://i.ytimg.com/vi/QHRuTYtSbJQ/hqdefault.jpg"
"iVvXB-Vwnco","Gojira - Silvera [OFFICIAL VIDEO]","Gojira","2019-05-17","2016-05-20","https://i.ytimg.com/vi/iVvXB-Vwnco/hqdefault.jpg"
